[0.33333333 0.33333333 0.33333333]
[ 0.74066541  0.28830975 -0.02897516]
[ 6.46949004e-01  3.53050999e-01 -2.44974761e-09]
[ 6.43857951e-01  3.56142052e-01 -2.61352621e-09]
[ 6.43159697e-01  3.56840305e-01 -2.61373441e-09]
[ 6.43002350e-01  3.56997653e-01 -2.61378187e-09]
[ 6.42966912e-01  3.57033091e-01 -2.61379258e-09]
[ 6.42958931e-01  3.57041071e-01 -2.61379499e-09]
[ 6.42957134e-01  3.57042869e-01 -2.61379554e-09]
[ 6.42956729e-01  3.57043273e-01 -2.61379566e-09]
[ 6.42956638e-01  3.57043364e-01 -2.61379569e-09]
[ 6.42956618e-01  3.57043385e-01 -2.61379569e-09]
